Date,Description,Amount,Category,Account
2025-01-31,STERLING FUND MONTHLY INCOME,4820.00,Fund Income,Investment
2025-01-31,MANAGEMENT FEE,-482.00,Fees,Investment
2025-02-28,STERLING FUND MONTHLY INCOME,5140.00,Fund Income,Investment
2025-02-28,MANAGEMENT FEE,-514.00,Fees,Investment
2025-03-31,STERLING FUND MONTHLY INCOME,6240.00,Fund Income,Investment
2025-03-31,MANAGEMENT FEE,-624.00,Fees,Investment
2025-04-30,STERLING FUND MONTHLY INCOME,3980.00,Fund Income,Investment
2025-04-30,MANAGEMENT FEE,-398.00,Fees,Investment
2025-05-31,STERLING FUND MONTHLY INCOME,5620.00,Fund Income,Investment
2025-05-31,MANAGEMENT FEE,-562.00,Fees,Investment
2025-06-30,STERLING FUND MONTHLY INCOME,4480.00,Fund Income,Investment
2025-06-30,MANAGEMENT FEE,-448.00,Fees,Investment
2025-07-31,STERLING FUND MONTHLY INCOME,7820.00,Fund Income,Investment
2025-07-31,MANAGEMENT FEE,-782.00,Fees,Investment
2025-08-31,STERLING FUND MONTHLY INCOME,8240.00,Fund Income,Investment
2025-08-31,MANAGEMENT FEE,-824.00,Fees,Investment
2025-09-30,STERLING FUND MONTHLY INCOME,6140.00,Fund Income,Investment
2025-09-30,MANAGEMENT FEE,-614.00,Fees,Investment
2025-10-31,STERLING FUND MONTHLY INCOME,9480.00,Fund Income,Investment
2025-10-31,MANAGEMENT FEE,-948.00,Fees,Investment
2025-11-30,STERLING FUND MONTHLY INCOME,11200.00,Fund Income,Investment
2025-11-30,MANAGEMENT FEE,-1120.00,Fees,Investment
2025-12-31,STERLING FUND MONTHLY INCOME,12840.00,Fund Income,Investment
2025-12-31,MANAGEMENT FEE,-1284.00,Fees,Investment
2025-12-31,ANNUAL PERFORMANCE FEE,-8420.00,Fees,Investment
2025-12-31,YEAR END DISTRIBUTION,24000.00,Distributions,Investment
2026-01-31,STERLING FUND MONTHLY INCOME,5240.00,Fund Income,Investment
2026-01-31,MANAGEMENT FEE,-524.00,Fees,Investment
2026-02-28,STERLING FUND MONTHLY INCOME,7180.00,Fund Income,Investment
2026-02-28,MANAGEMENT FEE,-718.00,Fees,Investment
2026-03-31,STERLING FUND MONTHLY INCOME,8640.00,Fund Income,Investment
2026-03-31,MANAGEMENT FEE,-864.00,Fees,Investment
2026-04-30,STERLING FUND MONTHLY INCOME,6920.00,Fund Income,Investment
2026-04-30,MANAGEMENT FEE,-692.00,Fees,Investment
