Date,Description,Amount,Category,Account
2025-01-03,TESCO SUPERSTORE,-67.40,Groceries,Barclays Current
2025-01-04,STARBUCKS KINGS CROSS,-5.60,Dining,Barclays Current
2025-01-06,TFL TRAVEL CHARGE,-41.60,Transport,Barclays Current
2025-01-08,SALARY - NEXUS DIGITAL LTD,3400.00,Income,Barclays Current
2025-01-09,NETFLIX.COM,-17.99,Subscriptions,Barclays Current
2025-01-10,SPOTIFY AB,-11.99,Subscriptions,Barclays Current
2025-01-11,DELIVEROO,-28.40,Dining,Barclays Current
2025-01-12,PURE GYM LTD,-26.99,Health,Barclays Current
2025-01-13,AMAZON MARKETPLACE,-34.99,Shopping,Barclays Current
2025-01-14,BRITISH GAS,-78.50,Utilities,Barclays Current
2025-01-15,THREE MOBILE,-18.00,Bills,Barclays Current
2025-01-16,PRET A MANGER,-6.90,Dining,Barclays Current
2025-01-17,SAINSBURYS SUPERSTORE,-54.20,Groceries,Barclays Current
2025-01-18,UBER TRIP,-12.40,Transport,Barclays Current
2025-01-19,APPLE MUSIC,-10.99,Subscriptions,Barclays Current
2025-01-20,PIZZA EXPRESS,-41.80,Dining,Barclays Current
2025-01-21,CURZON CINEMA SOHO,-14.50,Entertainment,Barclays Current
2025-01-22,LIDL GB,-38.60,Groceries,Barclays Current
2025-01-24,COUNCIL TAX DIRECT DEBIT,-142.00,Bills,Barclays Current
2025-01-25,BOOTS PHARMACY,-19.40,Health,Barclays Current
2025-01-27,TFL TRAVEL CHARGE,-38.80,Transport,Barclays Current
2025-01-28,DISHOOM KINGS CROSS,-56.20,Dining,Barclays Current
2025-01-29,AMAZON PRIME,-8.99,Subscriptions,Barclays Current
2025-01-31,SKY BROADBAND,-38.00,Bills,Barclays Current
2025-02-03,WAITROSE 404,-88.60,Groceries,Barclays Current
2025-02-05,PRET A MANGER,-7.40,Dining,Barclays Current
2025-02-06,COSTA COFFEE,-4.85,Dining,Barclays Current
2025-02-07,SALARY - NEXUS DIGITAL LTD,3400.00,Income,Barclays Current
2025-02-08,NETFLIX.COM,-17.99,Subscriptions,Barclays Current
2025-02-09,SPOTIFY AB,-11.99,Subscriptions,Barclays Current
2025-02-10,UBER EATS,-32.60,Dining,Barclays Current
2025-02-11,PURE GYM LTD,-26.99,Health,Barclays Current
2025-02-12,ZARA UK,-89.00,Shopping,Barclays Current
2025-02-13,AMAZON PRIME,-8.99,Subscriptions,Barclays Current
2025-02-14,SKETCH LONDON,-124.00,Dining,Barclays Current
2025-02-15,THREE MOBILE,-18.00,Bills,Barclays Current
2025-02-16,ALDI STORES,-42.30,Groceries,Barclays Current
2025-02-17,TFL TRAVEL CHARGE,-35.20,Transport,Barclays Current
2025-02-18,APPLE MUSIC,-10.99,Subscriptions,Barclays Current
